"filename", "language", "C++", "Markdown", "JSON", "comment", "blank", "total"
"d:\VisualStudioCodeProjects\SDL1\SDL2\SDL_opengl_glext.h", "C++", 12354, 0, 0, 187, 673, 13214
"d:\VisualStudioCodeProjects\SDL1\SDL2\SDL_opengles.h", "C++", 11, 0, 0, 25, 4, 40
"d:\VisualStudioCodeProjects\SDL1\SDL2\SDL_opengles2.h", "C++", 19, 0, 0, 26, 8, 53
"d:\VisualStudioCodeProjects\SDL1\SDL2\SDL_opengles2_gl2.h", "C++", 625, 0, 0, 21, 11, 657
"d:\VisualStudioCodeProjects\SDL1\SDL2\SDL_opengles2_gl2ext.h", "C++", 3694, 0, 0, 19, 321, 4034
"d:\VisualStudioCodeProjects\SDL1\SDL2\SDL_opengles2_gl2platform.h", "C++", 9, 0, 0, 12, 7, 28
"d:\VisualStudioCodeProjects\SDL1\SDL2\SDL_opengles2_khrplatform.h", "C++", 117, 0, 0, 165, 30, 312
"d:\VisualStudioCodeProjects\SDL1\SDL2\SDL_pixels.h", "C++", 330, 0, 0, 289, 44, 663
"d:\VisualStudioCodeProjects\SDL1\SDL2\SDL_platform.h", "C++", 196, 0, 0, 58, 22, 276
"d:\VisualStudioCodeProjects\SDL1\SDL2\SDL_power.h", "C++", 21, 0, 0, 57, 10, 88
"d:\VisualStudioCodeProjects\SDL1\SDL2\SDL_quit.h", "C++", 7, 0, 0, 44, 8, 59
"d:\VisualStudioCodeProjects\SDL1\SDL2\SDL_rect.h", "C++", 105, 0, 0, 238, 34, 377
"d:\VisualStudioCodeProjects\SDL1\SDL2\SDL_render.h", "C++", 251, 0, 0, 1569, 105, 1925
"d:\VisualStudioCodeProjects\SDL1\SDL2\SDL_revision.h", "C++", 6, 0, 0, 1, 1, 8
"d:\VisualStudioCodeProjects\SDL1\SDL2\SDL_rwops.h", "C++", 118, 0, 0, 669, 55, 842
"d:\VisualStudioCodeProjects\SDL1\SDL2\SDL_scancode.h", "C++", 260, 0, 0, 141, 38, 439
"d:\VisualStudioCodeProjects\SDL1\SDL2\SDL_sensor.h", "C++", 45, 0, 0, 246, 32, 323
"d:\VisualStudioCodeProjects\SDL1\SDL2\SDL_shape.h", "C++", 38, 0, 0, 102, 16, 156
"d:\VisualStudioCodeProjects\SDL1\SDL2\SDL_stdinc.h", "C++", 602, 0, 0, 169, 77, 848
"d:\VisualStudioCodeProjects\SDL1\SDL2\SDL_surface.h", "C++", 144, 0, 0, 785, 69, 998
"d:\VisualStudioCodeProjects\SDL1\SDL2\SDL_system.h", "C++", 95, 0, 0, 469, 75, 639
"d:\VisualStudioCodeProjects\SDL1\SDL2\SDL_syswm.h", "C++", 272, 0, 0, 77, 38, 387
"d:\VisualStudioCodeProjects\SDL1\SDL2\SDL_test.h", "C++", 25, 0, 0, 35, 10, 70
"d:\VisualStudioCodeProjects\SDL1\SDL2\SDL_test_assert.h", "C++", 19, 0, 0, 70, 17, 106
"d:\VisualStudioCodeProjects\SDL1\SDL2\SDL_test_common.h", "C++", 93, 0, 0, 115, 29, 237
"d:\VisualStudioCodeProjects\SDL1\SDL2\SDL_test_compare.h", "C++", 14, 0, 0, 44, 12, 70
"d:\VisualStudioCodeProjects\SDL1\SDL2\SDL_test_crc32.h", "C++", 31, 0, 0, 71, 23, 125
"d:\VisualStudioCodeProjects\SDL1\SDL2\SDL_test_font.h", "C++", 29, 0, 0, 121, 19, 169
"d:\VisualStudioCodeProjects\SDL1\SDL2\SDL_test_fuzzer.h", "C++", 37, 0, 0, 302, 48, 387
"d:\VisualStudioCodeProjects\SDL1\SDL2\SDL_test_harness.h", "C++", 39, 0, 0, 75, 21, 135
"d:\VisualStudioCodeProjects\SDL1\SDL2\SDL_test_images.h", "C++", 29, 0, 0, 39, 11, 79
"d:\VisualStudioCodeProjects\SDL1\SDL2\SDL_test_log.h", "C++", 13, 0, 0, 45, 10, 68
"d:\VisualStudioCodeProjects\SDL1\SDL2\SDL_test_md5.h", "C++", 22, 0, 0, 87, 21, 130
"d:\VisualStudioCodeProjects\SDL1\SDL2\SDL_test_memory.h", "C++", 13, 0, 0, 40, 11, 64
"d:\VisualStudioCodeProjects\SDL1\SDL2\SDL_test_random.h", "C++", 23, 0, 0, 75, 18, 116
"d:\VisualStudioCodeProjects\SDL1\SDL2\SDL_thread.h", "C++", 109, 0, 0, 314, 42, 465
"d:\VisualStudioCodeProjects\SDL1\SDL2\SDL_timer.h", "C++", 25, 0, 0, 179, 19, 223
"d:\VisualStudioCodeProjects\SDL1\SDL2\SDL_touch.h", "C++", 38, 0, 0, 93, 20, 151
"d:\VisualStudioCodeProjects\SDL1\SDL2\SDL_ttf.h", "C++", 191, 0, 0, 2039, 114, 2344
"d:\VisualStudioCodeProjects\SDL1\SDL2\SDL_types.h", "C++", 1, 0, 0, 26, 3, 30
"d:\VisualStudioCodeProjects\SDL1\SDL2\SDL_version.h", "C++", 40, 0, 0, 147, 18, 205
"d:\VisualStudioCodeProjects\SDL1\SDL2\SDL_video.h", "C++", 316, 0, 0, 1739, 130, 2185
"d:\VisualStudioCodeProjects\SDL1\SDL2\SDL_vulkan.h", "C++", 39, 0, 0, 157, 20, 216
"d:\VisualStudioCodeProjects\SDL1\SDL2\begin_code.h", "C++", 138, 0, 0, 38, 14, 190
"d:\VisualStudioCodeProjects\SDL1\SDL2\close_code.h", "C++", 10, 0, 0, 27, 4, 41
"d:\VisualStudioCodeProjects\SDL1\ammo.h", "C++", 75, 0, 0, 12, 17, 104
"d:\VisualStudioCodeProjects\SDL1\button.h", "C++", 73, 0, 0, 3, 13, 89
"d:\VisualStudioCodeProjects\SDL1\camera.h", "C++", 35, 0, 0, 4, 8, 47
"d:\VisualStudioCodeProjects\SDL1\enemy.h", "C++", 83, 0, 0, 11, 15, 109
"d:\VisualStudioCodeProjects\SDL1\log.md", "Markdown", 0, 37, 0, 0, 11, 48
"d:\VisualStudioCodeProjects\SDL1\main.cpp", "C++", 108, 0, 0, 34, 28, 170
"d:\VisualStudioCodeProjects\SDL1\stdc++.h", "C++", 102, 0, 0, 30, 23, 155
"d:\VisualStudioCodeProjects\SDL1\test.cpp", "C++", 55, 0, 0, 4, 10, 69
"Total", "-", 30201, 37, 6, 26107, 4866, 61217
